首字母,词条,文献,
,贵重,2024，安部清哉編著，日本語における漢語語基史と新漢語史のための基礎的調査研究――漢字・漢語の“気づかない近代化”――，学習院大学東洋文化研究所,
,国粹画,2023，彭卿，“中国画”“国粹画”“国画”观念的形成与发展，亚洲概念史研究第11卷，商务印书馆，134-159,
,国故,"2005，卢毅.“国学”、“国故”、“国故学”——试析三词在清季民初的语义变迁和相互关联[J].南京社会科学,2005(02):72-78.",
,国画,2023，彭卿，“中国画”“国粹画”“国画”观念的形成与发展，亚洲概念史研究第11卷，商务印书馆，134-159,
,国会,2015，孫建軍，近代日本語の起源ー幕末明治初期につくられた新漢語ー，早稲田大学出版部,
,国货,"2018，李金正.近现代“国货”观念与广告的民族主义致思*——基于美国“中国学”的批判性视角[J].现代传播(中国传媒大学学报),2018,40(08):136-140.",
,,"2024，王楠.脱“土”入“洋”:近代“国货”概念的现代性内涵[J].北京社会科学,2024(04):46-55.",
,国技,"2021，季培刚,吉灿忠.近代中国“武术”“国技”概念名词源流考论[J].北京体育大学学报,2021,44(08):131-139.",
,国际,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,,2015，孫建軍，近代日本語の起源ー幕末明治初期につくられた新漢語ー，早稲田大学出版部,
,国际法,2016，冯天瑜等著，近代汉字术语的生成演变与中西日文化互动研究，经济科学出版社,
,,"2019，高松.晚清法律译词的由来——以“国际法”译词为例[J].法制与社会,2019(25):243-244.",
,国家,"2008，周毅,谢卫.晚清西方“国家”和“民族”概念的译介及其对陈独秀早期思想形成的影响[J].四川师范大学学报(社会科学版),2008(04):89-93.",
,,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,,"2016，温泉.从“天下”到“国家”——论梁启超思想中的世界观念[J].学术交流,2016(05):30-34.",
,,2017，王群. 《日本变政考》中的近代新汉字词及其变迁[D].吉林大学硕士论文,
,,"2018，张春林.解构与建构:近代天下观向国家观转变历程解析[J].福建论坛(人文社会科学版),2018(01):146-154.",
,,2019，俞科. 从天下到国家[D].新疆师范大学硕士论文,
,,"2019，周彤.意义世界的现代性转变与近代报刊的“空间”营造——以“天下”“国家”为视角[J].常州工学院学报(社科版),2019,37(05):63-70.",
,,"2020，边云霞,许有剑.从“天下”到“中国”：中国概念的变化和演进[J].大连干部学刊,2020,36(04):42-47.",
,,"2022，杜赫.从“天下”到“国家”——近代中国国家观念在文明碰撞中的确立[J].公关世界,2022(06):143-144.",
,,"2022，卢兴.从“天下”到“世界”——重思中国近代文化保守主义与民族主义之关系[J].贵州大学学报(社会科学版),2022,40(05):25-31.",
,,"2022，万齐洲.再论State汉译名的厘定——兼论20世纪初“国家”观念在中国的流播[J].惠州学院学报,2022,42(05):8-14.",
,国民,"2003，郭双林,龙国存.“国民”与“奴隶”——对清末社会变迁过程中一组中坚概念的历史考察[J].中国文化研究,2003(01):123-134",
,,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,,"2011，郭台辉.中日的“国民”语义与国家构建——从明治维新到辛亥革命[J].社会学研究,2011,26(04):137-163+245.",
,,2012，董炳月，同文的现代转换——日语借词中的思想与文学，昆仑出版社,
,,"2012，郭忠华.清季民初的国民语义与国家想象——以citizen、citizenship汉译为中心的论述[J].南京大学学报(哲学.人文科学.社会科学版),2012,49(06):73-87+156.",
,,"2012，田雪梅.比较视野下的“国民”概念——兼议近代国民形成的条件[J].中共四川省委省级机关党校学报,2012(04):66-72",
,,2014，王暁雨，近代日中における「鍵」概念の変容と知識人，関西大学東アジア文化交渉学研究科博士論文,
,,"2016，王暁雨，近代日中における「国民」概念の成立―国家構成員の育成と知識人の試み，関西大学東西学術研究所紀要,49,297-312",
,,"2019，袁洪亮,马玉梅.从“国民”到“人民”:概念变迁与毛泽东无产阶级革命者身份的确立(1912-1921)[J].人文杂志,2019(01):104-112",
,国民革命,"2008，李翔.1897～1927年“国民革命”概念演变考释[J].云南社会科学,2008(02):140-144.",
,,"2008，李翔.“国民革命”概念演变考论——以1897-1927年为中心[J].南京社会科学,2008(12):70-78.",
,国民外交,"2003，印少云.近代史上的“国民外交”[J].甘肃社会科学,2003(03):132-134+138.",
,,"2004，贾中福.清末民初的国民外交思想论析[J].学术探索,2004(12):78-82.",
,,"2008，周斌.清末民初“国民外交”一词的形成及其含义述论[J].安徽史学,2008(05):22-32.",
,国民性,"1985，金宏达.鲁迅的“国民性”思想及其文化批判[J].齐鲁学刊,1985(02):98-105+9.",
,,2007，李冬木，“国民性”一词在中国，佛教大学文学部 文学部論集（91），113-128,
,,2008，李冬木，“国民性”一词在日本，佛教大学文学部 文学部論集（92），111-135,
,,"2015，李锐.20世纪初中国民族国家构建视野下“国民性”概念再考察[J].江南大学学报(人文社会科学版),2015,14(03):38-42.",
,,2023，李冬木，国民性，江苏人民出版社，学衡尔雅文库,
,,2023，李冬松，现代汉语中的“国民性”词源考，中国言語文化学研究，第12号，182−199,
,国权,"2017，邹小站.清末民初思想话语中的“民权”与“国权”[J].社会科学辑刊,2017(06):156-164.",
,,"2018，张春林.清末民初“民权”与“国权”之争论及变奏解析[J].福建论坛(人文社会科学版),2021(07):128-141.",
,国术,"2020，刘红军,花家涛.国术:一项基于近代中国语境的概念史考察[J].山东体育学院学报,2020,36(02):45-52.",
,国体,"2013，林来梵.国体概念史:跨国移植与演变[J].中国社会科学,2013(03):65-84+204-205.",
,,"2014，范贤政.“国体”与“政体”在近代中国的演变与分化[J].学术研究,2014(03):40-45.",
,,"2014，王宏斌.“政体”“国体”词义之嬗变与近代社会思潮之变迁[J].安徽史学,2014(05):49-60.",
,,"2015，邓华莹.1834—1898年间“国体”与“政体”概念的演变[J].学术研究,2015(03):98-107+160.",
,,"2015，喻中.所谓国体:宪法时刻与梁启超的共和再造[J].法学家,2015(04):158-175+180.",
,,"2018，邓华莹.博采与调适:清季民初梁启超的“国体”“政体”认知[J].学术研究,2018(11):136-143.",
,,"2018，邓华莹.东学笼罩与“国体”“政体”的勾连缠绕(1899—1903年)[J].河北师范大学学报(哲学社会科学版),2018,41(02):15-21.",
,,"2018，邓华莹.清末“国体”“政体”区分说的源起与变异[J].中山大学学报(社会科学版),2018,58(06):81-89.",
,,"2020，王本存.“国体”词义考[J].政法论坛,2020,38(04):3-18.",
,,2022，于飞 崔学森 佟一，语言接触视角下近代汉语词汇的生成，社会科学文献出版社,
,,"2023，田庆立,柳欣雨.近代以来日本“国体”概念内涵嬗变探析[J].北华大学学报(社会科学版),2023,24(03):20-26+150-151.DOI:10.19669/j.issn.1009-5101.2023.03.003.",
,国学,2003，罗志田，国家与学术：清季民初关于“国学”的思想论争，生活·读书·新知三联书店,
,,"2005，卢毅.“国学”、“国故”、“国故学”——试析三词在清季民初的语义变迁和相互关联[J].南京社会科学,2005(02):72-78.",
,,"2009，田正平,李成军.近代“国学”概念出处考[J].华南师范大学学报(社会科学版),2009,No.178(02):75-80+159.",
,,"2010，朱俊瑞.梁启超与近代“国学”概念的提出——兼论中国近代国学思想形成的几种分析路径[J].杭州师范大学学报(社会科学版),2010,32(02):19-26.",
,,"2014，王雪.浅析国学概念在近代的阐释[J].现代妇女(下旬),2014,No.33(06):323-324.",
,,"2015，蔡先金.“国学”原义断裂、跨语际挪移与流变性转换考察[J].文史哲,2015,No.349(04):39-51+165-166.",
,,"2016，史少博.梁启超“国学”的“东学”渊源[J].理论学刊,2016(05):157-164.",
,,"2018，史少博.中国近代“国学”的“东学”渊源[J].社科纵横,2018,33(04):91-95.",
,,2021，冯天瑜、聂长顺，三十个关键词的文化史，中国社会科学出版社,
,国有企业,"2017，肖飞,肖春明.国有企业概念的历史辨析——基于近代[J].中国集体经济,2017,No.519(07):57-58.",
,国语,"2008，张向东.“national language”的对译词“国语”探源[J].现代语文(语言研究版),2008,No.345(12):28-29.",
,,"2008，张向东.作为national language对译词的“国语”一词在近代中国是何时开始使用的?[J].汉字文化,2008,No.86(06):74-76.",
,,2012，董炳月，同文的现代转换——日语借词中的思想与文学，昆仑出版社,
,,2019，王东杰，声入心通：国语运动与现代中国，北京师范大学出版社,
,,2023，王东杰，国语，江苏人民出版社，学衡尔雅文库,
,国族,"2020，郑大华.中国近代民族主义话语下的“民族”“种族”和“国族”[J].史学月刊,2020(08):5-8.",
H,,,
,海疆,"2014，李德元.论中国近代海疆观念的形成[J].厦门大学学报(哲学社会科学版),2014,No.223(03):75-82.",
,海流,2018，荒川清秀，日中漢語の生成と交流・受容 : 漢語語基の意味と造語力，白帝社,
,海绵,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,海权,"2009，刘利民.十九世纪中国领海观念的传输与接受[J].烟台大学学报(哲学社会科学版),2009,22(02):80-84.",
,,"2015，黄娟.中国近代“海权”概念的形成及演变探析[J].科学·经济·社会,2015,33(02):133-136+148.",
,,"2018，李强华.观念史视角下的中国近代海权观念嬗变[J].中国海洋大学学报(社会科学版),2018(02):9-15.",
,,2020，覃德强，近代国人海权观念研究（1900-1949），三峡大学硕士论文,
,,"2021，王昌.清末“海权”概念考释[J].河北学刊,2021,41(06):72-78.",
,,"2022，聂向明.近代“海权”概念在中国的确立[J].人文论丛,2022,38(02):338-351.",
,,"2023，赵建国.清季报刊对海权论的传播[J].学术月刊,2023,55(06):193-205.",
,,"2024，江伟涛.近代中国“海权”话语构建的源起[J].清史研究,2024,(01):25-34.",
,海权论,"2006，周益锋.“海权论”东渐及其影响[J].史学月刊,2006(04):38-44.",
,海水浴,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,海獭,2023，何华珍 丁鑫美，近現代中日漢字詞源流考述，汉语史研究集刊（第三十四辑），四川大学出版社，198-211,
,毫,2023，刘曼，近现代新货币单位词流传、演变考，亚洲概念史研究第11卷，商务印书馆，98-119,
,河马,"2018，黄河清.“河马”探源[J].中国科技术语,2018,20(01):72-75.",
,合群,"2023，高翔宇.“合群”与近代中国妇女解放的历史进路[J].甘肃社会科学,2023(02):86-94.",
,合众,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,,2010，千葉謙悟，中国語における東西言語文化交流近代翻訳語の創造と伝播，三省堂,
,合众国,2010，千葉謙悟，中国語における東西言語文化交流近代翻訳語の創造と伝播，三省堂,
,红十字,"2018，邹振环.近代中欧日交流视野下的“红十字”和“赤十字”[J].广东社会科学,2018(02):117-125+255.",
,红十字会,"2018，邹振环.近代中欧日交流视野下的“红十字”和“赤十字”[J].广东社会科学,2018(02):117-125+255.",
,厚生,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,呼吸器,2024，安部清哉編著，日本語における漢語語基史と新漢語史のための基礎的調査研究――漢字・漢語の“気づかない近代化”――，学習院大学東洋文化研究所,
,虎烈拉,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,花粉,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,花椰菜,"2019，黄河清.“花椰菜”探源[J].中国科技术语,2019,21(06):75-78.",
,华北,"2006，张利民.“华北”考[J].史学月刊,2006(04):45-50.",
,,"2020，姚焱超.近代“华北”概念的传承演变与时代认知——以报刊资料为中心的考察[J].福建论坛(人文社会科学版),2020,No.335(04):115-124.",
,,"2021，仲伟民,王正华.作为区域的“华北”:概念渊源及流变——兼析明清社会经济史视野下的“华北”[J].天津社会科学,2021,No.236(01):135-148.",
,华南,"2015，桑兵.“华南”概念的生成演化与区域研究的检讨[J].学术研究,2015,No.368(07):94-113.",
,化（接尾辞）,2016，趙麗君，漢語接尾辞「－化」の成立と意味用法の拡張についての研究，岡山大学博士論文,
,,2017，杨超时，近代中日词汇交流与“的”“性”“化”构词功能的演变，中国社会科学出版社,
,,2022，沙広聡，明治期における接尾辞「化」の展開 : 学術誌における用法を中心に，阪大日本語研究. 34，95-115,
,,2023，沙广聪，19世纪以后汉语资料中“化”的后缀用法的形成，亚洲与世界（第5辑），27-43,
,化脓,2023，何华珍 丁鑫美，近現代中日漢字詞源流考述，汉语史研究集刊（第三十四辑），四川大学出版社，198-211,
,化石,2018，荒川清秀，日中漢語の生成と交流・受容 : 漢語語基の意味と造語力，白帝社,
,,"2019，杨丽娟.“Fossil”汉语译名演变考[J].地质论评,2019,65(01):25-28.",
,,2021，田野村忠温，「化石」の成立と展開，国語語彙史研究会編，国語語彙史の研究，40集，和泉書院,
,,2023，田野村忠温，近代日中新語の諸相，和泉書院,
,化学,"1981，潘吉星.谈“化学”一词在中国和日本的由来[J].情报学刊,1981(01):62-65.",
,,"2000，沈国威.译名“化学”的诞生[J].自然科学史研究,2000(01)，55-71.",
,,"2004，何涓.化学元素名称汉译史研究述评[J].自然科学史研究,2004(02)，155-167.",
,,"2004，张殷全.“化学”一词的由来[J].化学教育,2004(01)，59-61.",
,,"2004，刘广定.""化学""译名与戴德生无关考[J].自然科学史研究,2004(04)，366-370.",
,,2010，沈国威，近代中日词汇交流研究，中华书局,
,,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,,2016，冯天瑜等著，近代汉字术语的生成演变与中西日文化互动研究，经济科学出版社,
,,"2019，李志良.清末化学东渐过程中的三城鼎立 以最早的几本化学译著为中心[J].科学文化评论,2019,16(01)，80-88",
,,2020，沈国威，新语往还——中日近代语言交涉史，社会科学文献出版社,
,化妆,2019，陳力衛，近代知の翻訳と伝播―漢語を媒介に，三省堂,
,浣肠,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,环境,"2023，李英杰,王馨钥.“环境”一词与环境观的演变[J].自然辩证法通讯,2023,45(02):76-81.",
,幻灯机,2021，孙青，魔灯镜影——18-20世纪中国早期幻灯的放映、制作与传播，沈国威 奥村佳代子编『文化高尚と言語接触　内田慶市教授退職記念論文集』，東方書店，363-388,
,皇,"2010，庄钦永、周清海，翻译的政治，“皇”、“王”之论争，或問No.18,85-125",
,皇权,2007，野村浩一，近代中国の政治文化―民権・立憲・皇権，岩波書店,
,黄色,"2010，黄兴涛,陈鹏.近代中国“黄色”词义变异考析[J].历史研究,2010(06):83-98+191.",
,黄种意识,"2016，许赛锋.近代中国“黄种意识”形成中的日本因素——对日汉翻译史的一个相关考察[J].跨语言文化研究,2016(01):208-215.",
,回归线,2018，荒川清秀，日中漢語の生成と交流・受容 : 漢語語基の意味と造語力，白帝社,
,会社,2021，邵莉根. “公司”抑或“会社”：词源、历史情境与思想根源.南京大学硕士论文,
,会议,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,火柴,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,火车,2020，李思逸，鐵路現代性：晚清至民國的時空體驗與文化想像，台湾時報文化,
,货币,"1983，刘凤林,陈文生.“货币”和“金融”两名称的由来[J].天津金融研究,1983(03):35-37+25.",
I,,,
,,,
J,,,
,基因,"2020，邹文君.关于中日同形词“基因”的词史研究[J].高等日语教育,2020(01)，78-90+160-161.",
,,"2023，徐丁丁.近代遗传单位概念在中国的传播与“gene”的中译[J].自然科学史研究,2023,42(02):226-240.",
,积极,"2017，王麗娟，専門語から一般語へと――積極･消極を中心に，或問No.32,35-44",
,机器,2012，张柏春，汉语词汇“机器”与“机械＂的历史探究，载[德]郎宓榭 [德] 阿梅龙 [德] 顾有信 著 赵兴胜译《新词语新概念：西学译介与晚清汉语词汇之变迁》，济南：山东画报出版社，184-201,
,机器人,"2023，江晖.技术遐想与文明窥探:20世纪初期日本报刊与文学中机器人形象的生成[J].广东外语外贸大学学报,2023,34(06):114-125.",
,机械,2012，张柏春，汉语词汇“机器”与“机械＂的历史探究，载[德]郎宓榭 [德] 阿梅龙 [德] 顾有信 著 赵兴胜译《新词语新概念：西学译介与晚清汉语词汇之变迁》，济南：山东画报出版社，184-201,
,机械功率/機力,2021，安部清哉編，『明治初期理科教科書の近代漢語：中川重麗『博物学階段』にみる実態』，花鳥社,
,集产主义,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,集体主义,"2012，冯洁.论“集体主义”概念在近代中国发展的历史脉络和内在逻辑[J].理论月刊,2012,No.369(09):137-142.",
,几何,"1959，杰.几何不足Geo的譯音[J].数学通报,1959(11):31.",
,,"1992，白尚恕.《几何原本》的名称及其他[J].中州大学学报,1992(02):50-56.",
,,"2003，冯天瑜.晚明西学译词的文化转型意义——以“脑囊”、“几何”、“地球”、“契丹即中国”为例[J].武汉大学学报(人文科学版),2003(06):657-664.",
,,"2011，宋芝业.“几何”曾经不是几何学  明末“几何”及相关学科命名新探[J].科学文化评论,2011,8(01):77-85.",
,,"2011，杨全红,唐昉.“几何”一词的来龙去脉[J].上海翻译,2011,No.108(03):74-78.",
,,2021，冯天瑜、聂长顺，三十个关键词的文化史，中国社会科学出版社,
,,"2021，纪志刚,王宏晨.“几何”译名的历史探源与意义分析[J].自然辩证法研究,2021,37(02):83-89.",
,,2023，李昊明.概念史视角下科技术语“几何”在明朝的翻译研究[D].广东外语外贸大学硕士论文,
,继承,2013，屈文生，从词典出发 法律术语译名统一与规范化的翻译史研究，上海人民出版社,
,纪念,2013，小野寺史郎，19世紀末日中における「記念」の語義変化について，石川禎浩　狹間直樹編（2013）『近代東アジアにおける翻訳概念の展開 : 京都大学人文科学研究所附属現代中国研究センター研究報告』，袁广泉等译（2015），《近代东亚翻译概念的发生与传播》，社科文献出版社,
,技术,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,,"2022，雷环捷.中国“技术”概念的历史演进与当代启示[J].自然辩证法通讯,2022,44(10):111-117.",
,寄生,"2018，肖中显.从寄生草到寄生虫——“寄生”概念的知识考古[J].中国社会历史评论,2018,20(01):168-182+268.",
,计学,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,,"2013，邹进文,张家源.Economy、Economics中译考——以“富国策”“理财学”“计学”“经济学”为中心的考察[J].河北经贸大学学报,2013,34(04):116-121.",
,,"2016，龚琪峰.从“经世济民”到“计学”——翻译中的传统“经济学”的概念转型[J].中国科技术语,2016,18(05):59-64.",
,,"2018，龚琪峰.“计学”与“经济”之辩——翻译与近代中国经济话语的构建[J].文教资料,2018(09):112-113.",
,记者,"2004，杨中兴.“记者”称呼的由来[J].新闻爱好者,2004(01):17.",
,,"2005，李开军.""记者""一词在中国的出现和使用[J].中文自学指导,2005(02):34-36.",
,,"2006，李开军,傅小风.“记者”一词在中国出现于何时[J].当代传播,2006(04):118.",
,,"2007，邓绍根.新闻界关于“记者”一词的探源纷争——兼与李开军同志商榷[J].国际新闻界,2007,No.156(10):68-72.",
,,"2007，李开军.“记者”一词在中国的出现和使用[J].国际新闻界,2007,No.147(01):77-80.",
,,"2008，邓绍根.“记者”一词在中国的源流演变历史[J].新闻与传播研究,2008(01):37-46+95.",
,,"2008，李开军.再论“记者”一词在中国的出现——回应邓绍根先生的“商榷”[J].国际新闻界,2008,No.163(05):54-55.",
,,"2016，郑一卉.再论“记者”之名的由来[J].新闻界,2016(15):26-30.DOI:10.15897/j.cnki.cn51-1046/g2.2016.15.005.",
,,"2018，周光明,唐宇.“记者”的前身与本身:晚清新闻从业者职业称谓之演变[J].新闻与传播评论,2018,71(04):22-30.",
,,"2019，周光明,朱婉玲.中日文化交流视域下的“记者”称谓研究[J].新闻与传播评论,2019,72(06):120-128.",
,价值,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
,尖锐,2021，安部清哉編，『明治初期理科教科書の近代漢語：中川重麗『博物学階段』にみる実態』，花鳥社,
,健康,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,,2018，荒川清秀，日中漢語の生成と交流・受容 : 漢語語基の意味と造語力，白帝社,
,剑桥,2015，田野村忠温「意訳地名「牛津」「剣橋」の発生と消長」，大阪大学大学院文学研究科紀要，. 55 P.81-P.137,
,,2018，荒川清秀，日中漢語の生成と交流・受容 : 漢語語基の意味と造語力，白帝社,
,,2023，田野村忠温，近代日中新語の諸相，和泉書院,
,疆域,"2006，毕奥南.历史语境中的王朝中国疆域概念辨析——以天下、四海、中国、疆域、版图为例[J].中国边疆史地研究,2006(02):9-16+146.1",
,焦点,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,交通,2023，杨驰，清季民初“交通”词义的演变：基于中日语言接触视角的考察，亚洲概念史研究第11卷，商务印书馆，74-97,
,角,2023，刘曼，近现代新货币单位词流传、演变考，亚洲概念史研究第11卷，商务印书馆，98-119,
,教案,"2012，董丛林.“教案”概念的近代渊源与今用问题[J].史学月刊,2012,No.382(08):92-96.",
,教科书,"2011，张伟,代钦.“教科书”词源探[J].内蒙古师范大学学报(教育科学版),2011,24(02):87-89.",
,,"2012，孙建军.近代新词“教科书”的生成与传播[J].日语学习与研究,2012(05):44-51.",
,,"2020，吴小鸥.“教科书”考释[J].华东师范大学学报(教育科学版),2020,38(05):117-126.",
,教练,"2016，仇子揚,「教練」の語誌的研究——日中比較の視点から見る語義の変遷と転換,或問第29号,99-118",
,,2019，仇子揚，近代日中軍事用語の変容と交流の研究，関西大学外国語教育学研究科博士論文,
,教育,2016，冯天瑜等著，近代汉字术语的生成演变与中西日文化互动研究，经济科学出版社,
,,"2020，吴泽泉.从“教育”到“美育”——20世纪初“美育”概念的一条重要演进路径[J].中国文学批评,2020(04):58-65+156.",
,,2021，陳力衛「近代訳語のいわゆる転用語について―「文学」と「教育」を例として」，中国語学，268号，pp.22-53,
,,2021，冯天瑜、聂长顺，三十个关键词的文化史，中国社会科学出版社,
,,"2021，刘幸,施克灿.“Education”何以译为“教育”——以日本有关学术史料为基础的讨论[J].教育研究,2021,42(11):86-95.",
,教育学,"2013，侯怀银,张小丽.论“教育学”概念在中国的早期形成[J].教育研究,2013,34(11):11-21.",
,教育科学,"2014，张小丽,侯怀银.论20世纪上半叶“教育科学”概念在中国的形成[J].教育学报,2014,10(03):100-111.",
,阶段,2021，樊怡君「反転語「階段」「段階」の成立と定着について」，立教大学日本語研究， 27号、145-154,
,阶级,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
,,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,,"2012，栗荣.“阶级”概念的起源与中共早期的理论认知[J].党史研究与教学,2012(02):79-90.",
,,2014，栗荣. 建国前中共“阶级”概念的认知与演变[D].福建师范大学硕士论文,
,,"2017，陈红娟.《共产党宣言》汉译本中“阶级”概念的源起、语义与理解(1900—1920)[J].中共党史研究,2017(08):15-26.",
,,"2018，陈红娟.中共革命话语体系中“阶级”概念的演变、理解与塑造(1921—1937)[J].中共党史研究,2018(04):53-63.",
,,"2020，曹龙虎.身份观念的转换与现代国家建构——对马克思主义“阶级”概念在近代中国传播的理论解读[J].南京大学学报(哲学·人文科学·社会科学),2020,57(01):28-39.",
,,"2020，常莉.论19世纪末20世纪初“阶级”概念在中国的早期阐释[J].社会主义研究,2020(06):102-109.",
,,"2023，蒋凌楠.“阶级制度”“阶级压迫”与“阶级斗争”的历史叙述——20世纪初“阶级”近代语义的过渡生成[J].史林,2023(02):164-172+219.",
,,2024，冯凯（Kai Vogelsang）著 袁朋辉译，中国转型时期的“阶级”概念，亚洲概念史研究，第12卷,
,阶级斗争,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
,接吻,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,結構,2017，欒竹民，日本語における漢語の意味変化についてーー「結構」の続貂ーー，広島国際研究23卷，75-91,
,结果,2013，立山智絵類義語研究—「結果」と「成果」—，東京女子大学日本文学109号，111-126,
,,2017，鄒文君，原因・結果を表す漢語についての研究，立教大学博士論文,
,,2018，胡新祥，中日近代新漢語についての研究－仏教由来漢語を中心に，立教大学博士論文,
,结核,2006，王敏东，医学名词结核小考，香港中国语文学会 语文建设通讯83号，49-52,
,结石,2015，杉本つとむ，江戸時代翻訳語の世界，八坂書房,
,,2022，権宇琦，日中語彙交流の視点からみる近代和製医学用語の受容と交替，拓殖大学博士論文,
,结局,2011，趙英姫，副詞「結局」の定着と意味用法について—雑誌『太陽』を中心に—，日本文化學報51号，23-37,
,接种,2022，田野村忠温「「接種」の語史――痘関連用語の生成と消長」，阪大日本語研究，34号，27-45,
,,2023，田野村忠温，近代日中新語の諸相，和泉書院,
,解放,2003，李博（Wolfgang Lippert）著赵倩等译，汉语中的马克思主义术语的起源与作用，中国社会科学出版社,
,,"2013，袁光锋.“解放”与“翻身”:政治话语的传播与观念的形成[J].新闻与传播研究,2013,20(05):44-59+126-127.",
,解决,2019，沈国威，汉语近代二字词研究：语言接触与汉语的近代演化，华东师范大学出版社,
,,2021，楊馳，近代二字漢語動詞の形成と展開 : 日中言語接触と語彙近代化の視点からの考察，関西大学外国語教育学研究科博士論文,
,解剖,2005，牛亚华. 中日接受西方解剖学之比较研究[D].西北大学博士论文,
,,"2008，高晞.“解剖学”中文译名的由来与确定——以德贞《全体通考》为中心[J].历史研究,2008,No.316(06):80-104+191.",
,,2017，徐克偉，「解剖」「解剖学」について：近代中日解剖学术語の訳出と确立，『東アジア文化交渉研究』第10号、2017年3月、299-327。,
,,2022，徐克伟，兰学与汉学之间：江户幕府翻译事业《厚生新编》研究. 东京：东方书店,
,解剖学,2005，牛亚华. 中日接受西方解剖学之比较研究[D].西北大学博士论文,
,,"2008，高晞.“解剖学”中文译名的由来与确定——以德贞《全体通考》为中心[J].历史研究,2008,No.316(06):80-104+191.",
,,2017，徐克偉，「解剖」「解剖学」について：近代中日解剖学术語の訳出と确立，『東アジア文化交渉研究』第10号、2017年3月、299-327。,
,,2022，徐克伟，兰学与汉学之间：江户幕府翻译事业《厚生新编》研究. 东京：东方书店,
,筋,2009，松本秀士，西医東漸をめぐる「筋」の概念と解剖学用語の変遷，或問No.17，49-61,
,近代,"2004，陈向阳.范式转换与传统“近代”“现代”概念检讨[J].社会科学评论,2004(03):16-23.",
,,"2004，方秋梅.“近代”、“近世”,历史分期与史学观念[J].史学史研究,2004(03):54-64.",
,,2013，沈国威，近代關鍵詞考源，傳統、近代、現代，東亞觀念史集刊，第四期，417-437,
,,"2022，马敏.中国近代史学术话语体系建设的若干思考——以“近代”“近世”等概念为论述中心[J].近代史研究,2022,No.250(04):4-9.",
,近日,"2014，山際彰，「近日」の語誌，国語語彙史の研究	33卷，250-237",
,近世,"2004，方秋梅.“近代”、“近世”,历史分期与史学观念[J].史学史研究,2004(03):54-64.",
,,"2021，朱文哲.清末民初共时意识下的“近世”书写[J].中国社会科学院研究生院学报,2021,No.245(05):135-144.",
,,"2022，马敏.中国近代史学术话语体系建设的若干思考——以“近代”“近世”等概念为论述中心[J].近代史研究,2022,No.250(04):4-9.",
,金融,"1983，刘凤林,陈文生.“货币”和“金融”两名称的由来[J].天津金融研究,1983(03):35-37+25.",
,,"2011，张亚光.“金融”一词的由来[J].中国金融家,2011(11):152-154.",
,,"2016，艾俊川. “金融”与“银行”丛考[C]//.中国钱币论文集（第六辑）.,2016:69-81.",
,,"2019，孙大权.“金融”一词在中国近代的起源、演变及当代启示[J].复旦学报(社会科学版),2019,61(04):137-147.",
,金石学,"2008，查晓英.“金石学”在现代学科体制下的重塑[J].中山大学学报(社会科学版),2008,No.213(03):83-96+206.",
,,"2013，徐清.清末民国时期关于“金石学”概念的三种阐释立场[J].美术观察,2013,No.219(11):103-107.",
,金字塔,2019，陈力卫，东来东往，近代中日之间的词语概念，社会科学文献出版社,
,,2019，陳力衛，近代知の翻訳と伝播―漢語を媒介に，三省堂,
,进步,2009，金观涛、刘青峰，观念史研究：中国现代重要政治术语的形成，法律出版社,
,,2014，沈國威，近代關鍵詞考源：保守、進步、進化、退化、退步，東亞觀念史集刊，6期，302-323,
